date,timechuo,open,high,low,close,vol
2019-04-15 23:12,1555341120,5.4464,5.4538,5.4464,5.4528,3303.7
2019-04-15 23:13,1555341180,5.4529,5.4538,5.4516,5.4529,2084.13
2019-04-15 23:14,1555341240,5.4524,5.455,5.4487,5.4541,5702.73
2019-04-15 23:15,1555341300,5.4536,5.4561,5.4501,5.4556,2137.47
2019-04-15 23:16,1555341360,5.4554,5.4615,5.4542,5.4615,1436.82
2019-04-15 23:17,1555341420,5.462,5.4658,5.4592,5.4649,2219.5
2019-04-15 23:18,1555341480,5.4639,5.4639,5.4548,5.4562,28346.43
2019-04-15 23:19,1555341540,5.4548,5.46,5.4548,5.4584,4655.48
2019-04-15 23:20,1555341600,5.4595,5.4669,5.4585,5.4669,3529.98
2019-04-15 23:21,1555341660,5.4676,5.4698,5.4639,5.4683,4668.86
2019-04-15 23:22,1555341720,5.467,5.4689,5.4618,5.4666,5820.2
2019-04-15 23:23,1555341780,5.4655,5.4697,5.4655,5.4683,2421.87
2019-04-15 23:24,1555341840,5.4653,5.4738,5.4653,5.4719,4332.05
2019-04-15 23:25,1555341900,5.47,5.4734,5.4679,5.4722,4656.81
2019-04-15 23:26,1555341960,5.472,5.4861,5.472,5.4846,11286.35
2019-04-15 23:27,1555342020,5.4826,5.4826,5.4733,5.4782,3141.13
2019-04-15 23:28,1555342080,5.4797,5.4798,5.4584,5.4584,5007.72
2019-04-15 23:29,1555342140,5.466,5.4675,5.4603,5.4603,2043.42
2019-04-15 23:30,1555342200,5.4602,5.4603,5.4533,5.4572,24573.74
2019-04-15 23:31,1555342260,5.4547,5.4548,5.4529,5.4529,3165.18
2019-04-15 23:32,1555342320,5.4514,5.4548,5.4514,5.4528,3133.19
2019-04-15 23:33,1555342380,5.4548,5.4548,5.4484,5.4484,4401.11
2019-04-15 23:34,1555342440,5.4484,5.4515,5.4403,5.4403,3303.4
2019-04-15 23:35,1555342500,5.4424,5.449,5.442,5.4478,8136.18
2019-04-15 23:36,1555342560,5.4477,5.4548,5.4431,5.4449,6064.93
2019-04-15 23:37,1555342620,5.445,5.4479,5.4409,5.4479,3518.05
2019-04-15 23:38,1555342680,5.4492,5.4541,5.4473,5.4504,2582.57
2019-04-15 23:39,1555342740,5.4505,5.4527,5.4505,5.4527,2740.22
2019-04-15 23:40,1555342800,5.4559,5.4595,5.4559,5.4563,3129.65
2019-04-15 23:41,1555342860,5.4576,5.4599,5.4551,5.4567,3229.0
2019-04-15 23:42,1555342920,5.4588,5.4636,5.4585,5.4636,2031.37
2019-04-15 23:43,1555342980,5.4632,5.4634,5.4616,5.4616,798.07
2019-04-15 23:44,1555343040,5.4611,5.4716,5.4476,5.4563,12853.48
2019-04-15 23:45,1555343100,5.4582,5.4608,5.436,5.4583,13652.5
2019-04-15 23:46,1555343160,5.4548,5.4591,5.4534,5.4588,492.71
2019-04-15 23:47,1555343220,5.4565,5.4615,5.4536,5.4615,927.54
2019-04-15 23:48,1555343280,5.4594,5.4594,5.4535,5.4563,1207.72
2019-04-15 23:49,1555343340,5.4563,5.4575,5.4552,5.4552,707.91
2019-04-15 23:50,1555343400,5.4551,5.463,5.4551,5.46,2898.43
2019-04-15 23:51,1555343460,5.4629,5.4711,5.4622,5.4711,1964.62
2019-04-15 23:52,1555343520,5.4714,5.474,5.4612,5.4612,5063.8
2019-04-15 23:53,1555343580,5.4593,5.4736,5.4576,5.4736,1975.61
2019-04-15 23:54,1555343640,5.4749,5.4783,5.4749,5.4765,2059.87
2019-04-15 23:55,1555343700,5.4749,5.4749,5.4682,5.4686,2250.56
2019-04-15 23:56,1555343760,5.4687,5.4694,5.4624,5.4694,3302.6
2019-04-15 23:57,1555343820,5.4706,5.4857,5.469,5.4769,4841.84
2019-04-15 23:58,1555343880,5.476,5.4777,5.4707,5.4759,2577.36
2019-04-15 23:59,1555343940,5.475,5.4844,5.473,5.4844,2826.21
2019-04-16 00:00,1555344000,5.4853,5.4903,5.4845,5.4846,3968.74
2019-04-16 00:01,1555344060,5.4844,5.487,5.474,5.4755,6183.86
2019-04-16 00:02,1555344120,5.4756,5.4756,5.4569,5.4581,7558.04
2019-04-16 00:03,1555344180,5.4569,5.4599,5.455,5.4574,4535.84
2019-04-16 00:04,1555344240,5.4574,5.4602,5.4505,5.453,2500.62
2019-04-16 00:05,1555344300,5.4559,5.4581,5.4462,5.4473,8178.58
2019-04-16 00:06,1555344360,5.4474,5.4481,5.4442,5.4442,11958.6
2019-04-16 00:07,1555344420,5.4448,5.4448,5.4418,5.4418,97.04
2019-04-16 00:08,1555344480,5.4423,5.444,5.4304,5.4366,4810.28
2019-04-16 00:09,1555344540,5.4329,5.4359,5.4307,5.4328,2444.69
2019-04-16 00:10,1555344600,5.4328,5.4338,5.4281,5.4308,612.69
2019-04-16 00:11,1555344660,5.4308,5.4335,5.4051,5.4306,24124.27
2019-04-16 00:12,1555344720,5.4306,5.4362,5.426,5.4333,5213.35
2019-04-16 00:13,1555344780,5.4308,5.435,5.4241,5.4241,868.39
2019-04-16 00:14,1555344840,5.4256,5.4275,5.4121,5.4178,3175.09
2019-04-16 00:15,1555344900,5.4198,5.4251,5.4067,5.4131,4916.52
2019-04-16 00:16,1555344960,5.4139,5.431,5.4102,5.431,2055.87
2019-04-16 00:17,1555345020,5.4286,5.4301,5.424,5.4256,2802.71
