date,timechuo,open,high,low,close,vol
2018-07-18 10:42,1531881720,8.9522,8.9539,8.945,8.9483,12393.35
2018-07-18 10:43,1531881780,8.9484,8.951,8.9482,8.9482,9238.66
2018-07-18 10:44,1531881840,8.9479,8.9589,8.9456,8.9565,11332.49
2018-07-18 10:45,1531881900,8.9579,8.963,8.9505,8.9628,13302.1
2018-07-18 10:46,1531881960,8.9615,9.049,8.9615,8.9989,48797.25
2018-07-18 10:47,1531882020,8.9989,9.0124,8.99,9.0122,9669.68
2018-07-18 10:48,1531882080,9.0002,9.049,9.0002,9.0423,13333.89
2018-07-18 10:49,1531882140,9.0201,9.13,9.0201,9.13,40092.48
2018-07-18 10:50,1531882200,9.1291,9.1362,9.08,9.1054,29168.66
2018-07-18 10:51,1531882260,9.1054,9.1736,9.0803,9.1626,26487.7
2018-07-18 10:52,1531882320,9.1609,9.185,9.1186,9.1186,37274.81
2018-07-18 10:53,1531882380,9.1449,9.1452,9.0751,9.0751,19826.75
2018-07-18 10:54,1531882440,9.0751,9.1209,9.0727,9.1119,19604.99
2018-07-18 10:55,1531882500,9.1119,9.1382,9.1088,9.1248,23674.88
2018-07-18 10:56,1531882560,9.1198,9.139,9.0897,9.139,13954.84
2018-07-18 10:57,1531882620,9.139,9.1391,9.1296,9.1298,7755.55
2018-07-18 10:58,1531882680,9.1295,9.1366,9.1254,9.1299,4912.0
2018-07-18 10:59,1531882740,9.133,9.1367,9.1154,9.1199,12790.59
2018-07-18 11:00,1531882800,9.11,9.145,9.1096,9.1364,7880.35
2018-07-18 11:01,1531882860,9.1415,9.1546,9.1287,9.1457,27090.45
2018-07-18 11:02,1531882920,9.1546,9.17,9.1462,9.17,9480.41
2018-07-18 11:03,1531882980,9.1739,9.2496,9.1678,9.23,35204.34
2018-07-18 11:04,1531883040,9.2251,9.25,9.1698,9.2127,39344.18
2018-07-18 11:05,1531883100,9.2101,9.28,9.204,9.2685,38362.72
2018-07-18 11:06,1531883160,9.27,9.31,9.2685,9.309,29198.94
2018-07-18 11:07,1531883220,9.309,9.3091,9.2626,9.2866,21149.69
2018-07-18 11:08,1531883280,9.2898,9.36,9.2835,9.34,18859.15
2018-07-18 11:09,1531883340,9.3391,9.37,9.2757,9.2779,49661.29
2018-07-18 11:10,1531883400,9.2776,9.34,9.2734,9.33,15684.57
2018-07-18 11:11,1531883460,9.3358,9.3358,9.2652,9.2708,22626.54
2018-07-18 11:12,1531883520,9.2681,9.2749,9.1951,9.25,31053.17
2018-07-18 11:13,1531883580,9.25,9.2671,9.24,9.2499,12652.19
2018-07-18 11:14,1531883640,9.2401,9.2402,9.1708,9.1908,19919.57
2018-07-18 11:15,1531883700,9.202,9.2021,9.1691,9.1691,17262.15
2018-07-18 11:16,1531883760,9.1691,9.1851,9.1579,9.185,23014.22
2018-07-18 11:17,1531883820,9.185,9.2254,9.1808,9.1975,19368.85
2018-07-18 11:18,1531883880,9.1975,9.2133,9.1975,9.2099,18385.21
2018-07-18 11:19,1531883940,9.2099,9.2255,9.1985,9.1996,11894.45
2018-07-18 11:20,1531884000,9.1997,9.1998,9.169,9.1779,11539.1
2018-07-18 11:21,1531884060,9.178,9.2147,9.1733,9.2147,13325.64
2018-07-18 11:22,1531884120,9.2147,9.2168,9.1995,9.1995,8919.02
2018-07-18 11:23,1531884180,9.2004,9.2048,9.1804,9.1976,10655.64
2018-07-18 11:24,1531884240,9.2018,9.2018,9.1746,9.19,18455.46
2018-07-18 11:25,1531884300,9.19,9.19,9.1494,9.1691,16358.65
2018-07-18 11:26,1531884360,9.1648,9.1671,9.1416,9.1493,5990.88
2018-07-18 11:27,1531884420,9.1493,9.1651,9.1146,9.1284,16048.48
2018-07-18 11:28,1531884480,9.1397,9.155,9.127,9.1348,11562.23
2018-07-18 11:29,1531884540,9.135,9.1486,9.1211,9.1446,7502.43
2018-07-18 11:30,1531884600,9.146,9.1538,9.1387,9.15,16161.22
2018-07-18 11:31,1531884660,9.1501,9.1501,9.1306,9.1424,8441.97
2018-07-18 11:32,1531884720,9.1441,9.1585,9.1425,9.1555,12465.87
2018-07-18 11:33,1531884780,9.1612,9.19,9.1611,9.1691,13525.89
2018-07-18 11:34,1531884840,9.1852,9.1854,9.1707,9.178,5239.86
2018-07-18 11:35,1531884900,9.175,9.1777,9.1522,9.1522,16605.94
2018-07-18 11:36,1531884960,9.1522,9.1599,9.1326,9.1372,9789.9
2018-07-18 11:37,1531885020,9.1326,9.1369,9.1025,9.1276,9988.49
2018-07-18 11:38,1531885080,9.125,9.125,9.0812,9.1031,14356.3
2018-07-18 11:39,1531885140,9.11,9.1418,9.0962,9.0963,16633.87
2018-07-18 11:40,1531885200,9.0962,9.1049,9.0609,9.094,18543.61
2018-07-18 11:41,1531885260,9.094,9.1027,9.0887,9.0907,8513.49
2018-07-18 11:42,1531885320,9.0907,9.1086,9.09,9.0974,5873.47
2018-07-18 11:43,1531885380,9.0993,9.1124,9.0929,9.1,7213.03
2018-07-18 11:44,1531885440,9.1,9.1239,9.0987,9.0987,7700.68
2018-07-18 11:45,1531885500,9.0986,9.1116,9.0902,9.1006,5605.16
2018-07-18 11:46,1531885560,9.1105,9.1191,9.1105,9.1191,9330.86
2018-07-18 11:47,1531885620,9.1153,9.1206,9.1116,9.1144,12138.5
2018-07-18 11:48,1531885680,9.1143,9.1144,9.1,9.1115,7736.49
2018-07-18 11:49,1531885740,9.1138,9.1349,9.1128,9.1349,14575.24
2018-07-18 11:50,1531885800,9.1302,9.145,9.1301,9.135,10284.34
2018-07-18 11:51,1531885860,9.135,9.16,9.1324,9.1595,9128.8
2018-07-18 11:52,1531885920,9.1579,9.1579,9.1137,9.1162,14482.49
2018-07-18 11:53,1531885980,9.1161,9.1227,9.0954,9.1197,12158.86
2018-07-18 11:54,1531886040,9.105,9.1191,9.0902,9.0983,6039.87
2018-07-18 11:55,1531886100,9.1009,9.1099,9.0804,9.1069,12115.94
2018-07-18 11:56,1531886160,9.1012,9.12,9.1011,9.1101,16317.3
2018-07-18 11:57,1531886220,9.1161,9.1163,9.1094,9.1161,6776.02
2018-07-18 11:58,1531886280,9.1143,9.1156,9.101,9.1015,7489.44
2018-07-18 11:59,1531886340,9.1065,9.1154,9.1001,9.1085,13081.94
2018-07-18 12:00,1531886400,9.1085,9.1199,9.1084,9.1147,8528.38
2018-07-18 12:01,1531886460,9.1194,9.1328,9.1148,9.1202,7293.27
2018-07-18 12:02,1531886520,9.1203,9.137,9.1203,9.137,3300.0
2018-07-18 12:03,1531886580,9.1387,9.1402,9.129,9.1402,8741.31
2018-07-18 12:04,1531886640,9.1402,9.16,9.127,9.1305,11707.17
2018-07-18 12:05,1531886700,9.1283,9.1415,9.1114,9.1124,9969.82
2018-07-18 12:06,1531886760,9.1188,9.1205,9.1002,9.1074,15977.03
2018-07-18 12:07,1531886820,9.111,9.111,9.0908,9.0987,4851.67
2018-07-18 12:08,1531886880,9.0948,9.1028,9.0901,9.1027,13523.75
2018-07-18 12:09,1531886940,9.1027,9.1027,9.0855,9.0857,8099.25
2018-07-18 12:10,1531887000,9.0867,9.091,9.05,9.0759,20879.5
2018-07-18 12:11,1531887060,9.0722,9.08,9.0374,9.0394,12029.37
2018-07-18 12:12,1531887120,9.0428,9.0463,9.0143,9.02,18845.28
2018-07-18 12:13,1531887180,9.02,9.032,8.9708,9.0194,48155.89
2018-07-18 12:14,1531887240,9.0118,9.0283,9.0036,9.0199,11359.01
2018-07-18 12:15,1531887300,9.0144,9.0444,9.0057,9.0353,14321.26
2018-07-18 12:16,1531887360,9.0353,9.05,9.0346,9.0455,6692.58
2018-07-18 12:17,1531887420,9.045,9.0529,9.0355,9.05,9368.59
2018-07-18 12:18,1531887480,9.0527,9.053,9.03,9.0308,7668.1
2018-07-18 12:19,1531887540,9.0348,9.0348,9.0034,9.02,12475.88
2018-07-18 12:20,1531887600,9.0199,9.02,8.9843,9.0049,29253.23
2018-07-18 12:21,1531887660,9.0028,9.028,8.9937,9.0228,15565.95
2018-07-18 12:22,1531887720,9.0277,9.0447,9.0228,9.038,8247.02
2018-07-18 12:23,1531887780,9.0316,9.0382,9.022,9.0341,11825.5
2018-07-18 12:24,1531887840,9.0375,9.0447,8.9844,9.0387,24481.3
2018-07-18 12:25,1531887900,9.0386,9.0475,9.0288,9.032,6312.19
2018-07-18 12:26,1531887960,9.0344,9.0625,9.0316,9.0614,18878.7
2018-07-18 12:27,1531888020,9.0599,9.0623,9.0495,9.0529,6465.28
2018-07-18 12:28,1531888080,9.0529,9.0542,9.027,9.05,6415.92
2018-07-18 12:29,1531888140,9.0499,9.0515,9.045,9.0515,17816.9
2018-07-18 12:30,1531888200,9.0597,9.0597,9.0422,9.0512,8131.98
2018-07-18 12:31,1531888260,9.05,9.05,9.0379,9.0415,10139.71
2018-07-18 12:32,1531888320,9.0418,9.0419,9.0147,9.0263,12049.94
2018-07-18 12:33,1531888380,9.0243,9.0256,9.0158,9.0189,3621.34
2018-07-18 12:34,1531888440,9.019,9.0201,9.013,9.013,10746.58
2018-07-18 12:35,1531888500,9.0141,9.032,9.011,9.0227,11466.27
2018-07-18 12:36,1531888560,9.0274,9.0319,8.9953,8.9977,10977.21
2018-07-18 12:37,1531888620,9.0204,9.0204,9.004,9.008,9246.25
2018-07-18 12:38,1531888680,9.008,9.008,8.9965,9.0025,8276.28
2018-07-18 12:39,1531888740,9.0053,9.0188,8.9982,9.0188,16102.86
2018-07-18 12:40,1531888800,9.0112,9.0319,9.0112,9.0314,9857.67
2018-07-18 12:41,1531888860,9.0311,9.0335,9.0236,9.0301,5949.8
2018-07-18 12:42,1531888920,9.0305,9.0305,9.0091,9.0091,4322.36
2018-07-18 12:43,1531888980,9.0086,9.0101,8.992,9.0022,10294.14
2018-07-18 12:44,1531889040,8.9998,9.0137,8.9998,9.0099,10339.76
2018-07-18 12:45,1531889100,9.0023,9.0131,9.0023,9.0099,14532.7
2018-07-18 12:46,1531889160,9.0068,9.0184,9.0039,9.018,2872.87
2018-07-18 12:47,1531889220,9.0077,9.0166,9.0077,9.0165,9859.49
2018-07-18 12:48,1531889280,9.0105,9.0166,9.0105,9.0116,8032.07
2018-07-18 12:49,1531889340,9.0148,9.02,9.0119,9.02,9633.16
2018-07-18 12:50,1531889400,9.0216,9.0307,9.013,9.0203,13591.26
2018-07-18 12:51,1531889460,9.0228,9.0228,9.0151,9.0214,15283.3
2018-07-18 12:52,1531889520,9.0151,9.0151,9.0131,9.0131,5382.99
2018-07-18 12:53,1531889580,9.014,9.014,9.0115,9.0116,14268.4
2018-07-18 12:54,1531889640,9.0123,9.0151,9.0117,9.0117,7496.33
2018-07-18 12:55,1531889700,9.015,9.015,9.0087,9.0124,6607.55
2018-07-18 12:56,1531889760,9.0123,9.0123,9.0,9.001,7045.45
2018-07-18 12:57,1531889820,9.0011,9.0124,9.0011,9.0124,8115.75
2018-07-18 12:58,1531889880,9.0075,9.0124,9.0011,9.0035,8507.79
2018-07-18 12:59,1531889940,9.0022,9.0048,9.0,9.0001,9262.56
2018-07-18 13:00,1531890000,9.0001,9.0049,8.995,9.0043,9276.87
2018-07-18 13:01,1531890060,8.9976,9.0039,8.9919,8.9919,5394.48
2018-07-18 13:02,1531890120,8.9927,9.0019,8.9926,9.0002,16348.99
2018-07-18 13:03,1531890180,9.0019,9.0032,8.9904,9.0028,13711.78
2018-07-18 13:04,1531890240,8.9922,9.0105,8.99,9.0105,9491.01
