date,timechuo,open,high,low,close,vol
2019-08-09 23:33,1565364780,5.8135,5.815,5.8135,5.815,148.54
2019-08-09 23:34,1565364840,5.815,5.815,5.8101,5.8101,302.51
2019-08-09 23:35,1565364900,5.815,5.815,5.815,5.815,40.23
2019-08-09 23:36,1565364960,5.8115,5.8115,5.8115,5.8115,148.54
2019-08-09 23:37,1565365020,5.8135,5.8135,5.8113,5.8113,164.61
2019-08-09 23:38,1565365080,5.8113,5.8113,5.8113,5.8113,0.0
2019-08-09 23:39,1565365140,5.8113,5.8113,5.8113,5.8113,0.0
2019-08-09 23:40,1565365200,5.8113,5.8113,5.8113,5.8113,0.0
2019-08-09 23:41,1565365260,5.8105,5.8105,5.8065,5.8065,38.1
2019-08-09 23:42,1565365320,5.8065,5.8065,5.8065,5.8065,0.0
2019-08-09 23:43,1565365380,5.8126,5.8129,5.8007,5.802,381.2
2019-08-09 23:44,1565365440,5.802,5.802,5.802,5.802,0.0
2019-08-09 23:45,1565365500,5.8,5.8,5.8,5.8,3.41
2019-08-09 23:46,1565365560,5.796,5.7998,5.7862,5.7862,322.46
2019-08-09 23:47,1565365620,5.7846,5.7846,5.7695,5.7716,958.86
2019-08-09 23:48,1565365680,5.766,5.77,5.7599,5.7599,968.14
2019-08-09 23:49,1565365740,5.7687,5.7776,5.7687,5.7776,246.25
2019-08-09 23:50,1565365800,5.7792,5.7888,5.7792,5.7888,19.39
2019-08-09 23:51,1565365860,5.7802,5.7802,5.7802,5.7802,32.74
2019-08-09 23:52,1565365920,5.77,5.7756,5.7682,5.7733,269.35
2019-08-09 23:53,1565365980,5.7739,5.7739,5.7739,5.7739,30.0
2019-08-09 23:54,1565366040,5.7682,5.7682,5.7682,5.7682,0.68
2019-08-09 23:55,1565366100,5.7632,5.7777,5.7632,5.7777,403.78
2019-08-09 23:56,1565366160,5.7777,5.7777,5.7777,5.7777,0.0
2019-08-09 23:57,1565366220,5.772,5.772,5.772,5.772,10.79
2019-08-09 23:58,1565366280,5.7811,5.7811,5.7809,5.7809,100.82
2019-08-09 23:59,1565366340,5.7817,5.7838,5.7817,5.7838,105.47
2019-08-10 00:00,1565366400,5.7673,5.7673,5.7673,5.7673,13.69
2019-08-10 00:01,1565366460,5.7643,5.7643,5.7443,5.7592,680.61
